"","source","target","source_genesymbol","target_genesymbol","resource"
"850","P08572","P18084","COL4A2","ITGB5","consensus"
"851","P08572","P18827","COL4A2","SDC1","consensus"
"852","P08572","Q9HCN6","COL4A2","GP6","consensus"
"853","P08572","Q9NPY3","COL4A2","CD93","consensus"
"854","P11047","COMPLEX:P05556_P17301","LAMC1","ITGA2_ITGB1","consensus"
"855","P11047","COMPLEX:P05556_P23229","LAMC1","ITGA6_ITGB1","consensus"
"856","P11047","COMPLEX:P05556_P26006","LAMC1","ITGA3_ITGB1","consensus"
"857","P11047","COMPLEX:P05556_Q13683","LAMC1","ITGA7_ITGB1","consensus"
"858","P11047","COMPLEX:P05556_Q13797","LAMC1","ITGA9_ITGB1","consensus"
"859","P11047","COMPLEX:P06756_P26012","LAMC1","ITGAV_ITGB8","consensus"
"860","P11047","COMPLEX:P16144_P23229","LAMC1","ITGA6_ITGB4","consensus"
"861","P11047","P16070","LAMC1","CD44","consensus"
"862","P11047","P56199","LAMC1","ITGA1","consensus"
"863","P11047","Q14118","LAMC1","DAG1","consensus"
"864","P12109","COMPLEX:O75578_P05556","COL6A1","ITGA10_ITGB1","consensus"
"865","P12109","COMPLEX:P05556_P17301","COL6A1","ITGA2_ITGB1","consensus"
"866","P12109","COMPLEX:P05556_P26006","COL6A1","ITGA3_ITGB1","consensus"
"867","P12109","COMPLEX:P05556_P56199","COL6A1","ITGA1_ITGB1","consensus"
"868","P12109","COMPLEX:P05556_Q13797","COL6A1","ITGA9_ITGB1","consensus"
"869","P12109","COMPLEX:P05556_Q9UKX5","COL6A1","ITGA11_ITGB1","consensus"
"870","P12109","COMPLEX:P06756_P26012","COL6A1","ITGAV_ITGB8","consensus"
"871","P12109","P16070","COL6A1","CD44","consensus"
"872","P12109","P18827","COL6A1","SDC1","consensus"
"873","P12109","P23229","COL6A1","ITGA6","consensus"
"874","P12109","Q9HCN6","COL6A1","GP6","consensus"
"875","P12110","COMPLEX:O75578_P05556","COL6A2","ITGA10_ITGB1","consensus"
"876","P12110","COMPLEX:P05556_P17301","COL6A2","ITGA2_ITGB1","consensus"
"877","P12110","COMPLEX:P05556_P26006","COL6A2","ITGA3_ITGB1","consensus"
"878","P12110","COMPLEX:P05556_P56199","COL6A2","ITGA1_ITGB1","consensus"
"879","P12110","COMPLEX:P05556_Q13797","COL6A2","ITGA9_ITGB1","consensus"
"880","P12110","COMPLEX:P05556_Q9UKX5","COL6A2","ITGA11_ITGB1","consensus"
"881","P12110","COMPLEX:P06756_P26012","COL6A2","ITGAV_ITGB8","consensus"
"882","P12110","P16070","COL6A2","CD44","consensus"
"883","P12110","P18827","COL6A2","SDC1","consensus"
"884","P12110","Q9HCN6","COL6A2","GP6","consensus"
"885","P12111","COMPLEX:O75578_P05556","COL6A3","ITGA10_ITGB1","consensus"
"886","P12111","COMPLEX:P05556_P17301","COL6A3","ITGA2_ITGB1","consensus"
"887","P12111","COMPLEX:P05556_P26006","COL6A3","ITGA3_ITGB1","consensus"
"888","P12111","COMPLEX:P05556_P56199","COL6A3","ITGA1_ITGB1","consensus"
"889","P12111","COMPLEX:P05556_Q13797","COL6A3","ITGA9_ITGB1","consensus"
"890","P12111","COMPLEX:P05556_Q9UKX5","COL6A3","ITGA11_ITGB1","consensus"
"891","P12111","COMPLEX:P06756_P26012","COL6A3","ITGAV_ITGB8","consensus"
"892","P12111","P16070","COL6A3","CD44","consensus"
"893","P12111","P18827","COL6A3","SDC1","consensus"
"894","P12111","Q9HCN6","COL6A3","GP6","consensus"
"895","P20849","COMPLEX:O75578_P05556","COL9A1","ITGA10_ITGB1","consensus"
"896","P20849","COMPLEX:P05556_P17301","COL9A1","ITGA2_ITGB1","consensus"
"897","P20849","COMPLEX:P05556_P26006","COL9A1","ITGA3_ITGB1","consensus"
"898","P20849","COMPLEX:P05556_P56199","COL9A1","ITGA1_ITGB1","consensus"
"899","P20849","COMPLEX:P05556_Q13797","COL9A1","ITGA9_ITGB1","consensus"
"900","P20849","COMPLEX:P05556_Q9UKX5","COL9A1","ITGA11_ITGB1","consensus"
"901","P20849","COMPLEX:P06756_P26012","COL9A1","ITGAV_ITGB8","consensus"
"902","P20849","P16070","COL9A1","CD44","consensus"
"903","P20849","P18827","COL9A1","SDC1","consensus"
"904","P20849","Q9HCN6","COL9A1","GP6","consensus"
"905","P21815","COMPLEX:P05106_P06756","IBSP","ITGAV_ITGB3","consensus"
"906","P21815","COMPLEX:P06756_P18084","IBSP","ITGAV_ITGB5","consensus"
"907","P22105","COMPLEX:P05106_P06756","TNXB","ITGAV_ITGB3","consensus"
"908","P22105","COMPLEX:P05106_P08514","TNXB","ITGA2B_ITGB3","consensus"
"909","P22105","COMPLEX:P05556_P53708","TNXB","ITGA8_ITGB1","consensus"
"910","P22105","COMPLEX:P05556_Q13797","TNXB","ITGA9_ITGB1","consensus"
"911","P22105","COMPLEX:P06756_P18564","TNXB","ITGAV_ITGB6","consensus"
"912","P22105","P18827","TNXB","SDC1","consensus"
"913","P24043","COMPLEX:P05556_P17301","LAMA2","ITGA2_ITGB1","consensus"
"914","P24043","COMPLEX:P05556_P23229","LAMA2","ITGA6_ITGB1","consensus"
"915","P24043","COMPLEX:P05556_P26006","LAMA2","ITGA3_ITGB1","consensus"
"916","P24043","COMPLEX:P05556_Q13683","LAMA2","ITGA7_ITGB1","consensus"
"917","P24043","COMPLEX:P05556_Q13797","LAMA2","ITGA9_ITGB1","consensus"
"918","P24043","COMPLEX:P06756_P26012","LAMA2","ITGAV_ITGB8","consensus"
"919","P24043","COMPLEX:P16144_P23229","LAMA2","ITGA6_ITGB4","consensus"
"920","P24043","P08865","LAMA2","RPSA","consensus"
"921","P24043","P16070","LAMA2","CD44","consensus"
"922","P24043","P56199","LAMA2","ITGA1","consensus"
"923","P24043","Q14118","LAMA2","DAG1","consensus"
"924","P24821","COMPLEX:P05106_P06756","TNC","ITGAV_ITGB3","consensus"
"925","P24821","COMPLEX:P05106_P08514","TNC","ITGA2B_ITGB3","consensus"
"926","P24821","COMPLEX:P05556_P53708","TNC","ITGA8_ITGB1","consensus"
"927","P24821","COMPLEX:P05556_Q13797","TNC","ITGA9_ITGB1","consensus"
"928","P24821","COMPLEX:P06756_P18564","TNC","ITGAV_ITGB6","consensus"
"929","P24821","P00533","TNC","EGFR","consensus"
"930","P24821","P08648","TNC","ITGA5","consensus"
"931","P24821","P17301","TNC","ITGA2","consensus"
"932","P24821","P18827","TNC","SDC1","consensus"
"933","P24821","P23467","TNC","PTPRB","consensus"
"934","P24821","P23471","TNC","PTPRZ1","consensus"
"935","P24821","Q12860","TNC","CNTN1","consensus"
"936","P24821","Q13683","TNC","ITGA7","consensus"
"937","P25391","COMPLEX:P05556_P17301","LAMA1","ITGA2_ITGB1","consensus"
"938","P25391","COMPLEX:P05556_P23229","LAMA1","ITGA6_ITGB1","consensus"
"939","P25391","COMPLEX:P05556_P26006","LAMA1","ITGA3_ITGB1","consensus"
"940","P25391","COMPLEX:P05556_Q13683","LAMA1","ITGA7_ITGB1","consensus"
"941","P25391","COMPLEX:P05556_Q13797","LAMA1","ITGA9_ITGB1","consensus"
"942","P25391","COMPLEX:P06756_P26012","LAMA1","ITGAV_ITGB8","consensus"
"943","P25391","COMPLEX:P16144_P23229","LAMA1","ITGA6_ITGB4","consensus"
"944","P25391","P08865","LAMA1","RPSA","consensus"
"945","P25391","P16070","LAMA1","CD44","consensus"
"946","P25391","P34741","LAMA1","SDC2","consensus"
"947","P25391","P35052","LAMA1","GPC1","consensus"
"948","P25391","P56199","LAMA1","ITGA1","consensus"
"949","P25391","Q14118","LAMA1","DAG1","consensus"
"950","P29400","COMPLEX:O75578_P05556","COL4A5","ITGA10_ITGB1","consensus"
"951","P29400","COMPLEX:P05556_P17301","COL4A5","ITGA2_ITGB1","consensus"
"952","P29400","COMPLEX:P05556_P26006","COL4A5","ITGA3_ITGB1","consensus"
"953","P29400","COMPLEX:P05556_P56199","COL4A5","ITGA1_ITGB1","consensus"
"954","P29400","COMPLEX:P05556_Q13797","COL4A5","ITGA9_ITGB1","consensus"
"955","P29400","COMPLEX:P05556_Q9UKX5","COL4A5","ITGA11_ITGB1","consensus"
"956","P29400","COMPLEX:P06756_P26012","COL4A5","ITGAV_ITGB8","consensus"
"957","P29400","P16070","COL4A5","CD44","consensus"
"958","P29400","P18827","COL4A5","SDC1","consensus"
"959","P29400","Q08722","COL4A5","CD47","consensus"
"960","P29400","Q9HCN6","COL4A5","GP6","consensus"
"961","P29400","Q9NPY3","COL4A5","CD93","consensus"
"962","P35442","COMPLEX:P05106_P06756","THBS2","ITGAV_ITGB3","consensus"
"963","P35442","COMPLEX:P05556_P26006","THBS2","ITGA3_ITGB1","consensus"
"964","P35442","P13612","THBS2","ITGA4","consensus"
"965","P35442","P16671","THBS2","CD36","consensus"
"966","P35442","P18827","THBS2","SDC1","consensus"
"967","P35442","P23229","THBS2","ITGA6","consensus"
"968","P35442","Q08722","THBS2","CD47","consensus"
"969","P35442","Q99466","THBS2","NOTCH4","consensus"
"970","P35442","Q9UM47","THBS2","NOTCH3","consensus"
"971","P35443","COMPLEX:P05106_P06756","THBS4","ITGAV_ITGB3","consensus"
"972","P35443","COMPLEX:P05556_P26006","THBS4","ITGA3_ITGB1","consensus"
"973","P35443","P16671","THBS4","CD36","consensus"
"974","P35443","P18827","THBS4","SDC1","consensus"
"975","P35443","Q08722","THBS4","CD47","consensus"
"976","P49746","COMPLEX:P05106_P06756","THBS3","ITGAV_ITGB3","consensus"
"977","P49746","COMPLEX:P05556_P26006","THBS3","ITGA3_ITGB1","consensus"
"978","P49747","COMPLEX:P05106_P06756","COMP","ITGAV_ITGB3","consensus"
"979","P49747","COMPLEX:P05556_P26006","COMP","ITGA3_ITGB1","consensus"
"980","P49747","P08648","COMP","ITGA5","consensus"
"981","P49747","P16671","COMP","CD36","consensus"
"982","P49747","P18827","COMP","SDC1","consensus"
"983","P49747","Q08722","COMP","CD47","consensus"
"984","P53420","COMPLEX:O75578_P05556","COL4A4","ITGA10_ITGB1","consensus"
"985","P53420","COMPLEX:P05556_P17301","COL4A4","ITGA2_ITGB1","consensus"
"986","P53420","COMPLEX:P05556_P26006","COL4A4","ITGA3_ITGB1","consensus"
"987","P53420","COMPLEX:P05556_P56199","COL4A4","ITGA1_ITGB1","consensus"
"988","P53420","COMPLEX:P05556_Q13797","COL4A4","ITGA9_ITGB1","consensus"
"989","P53420","COMPLEX:P05556_Q9UKX5","COL4A4","ITGA11_ITGB1","consensus"
"990","P53420","COMPLEX:P06756_P26012","COL4A4","ITGAV_ITGB8","consensus"
"991","P53420","P05106","COL4A4","ITGB3","consensus"
"992","P53420","P16070","COL4A4","CD44","consensus"
"993","P53420","P18827","COL4A4","SDC1","consensus"
"994","P53420","Q08722","COL4A4","CD47","consensus"
"995","P53420","Q9HCN6","COL4A4","GP6","consensus"
"996","P53420","Q9NPY3","COL4A4","CD93","consensus"
"997","P55268","COMPLEX:P05556_P17301","LAMB2","ITGA2_ITGB1","consensus"
"998","P55268","COMPLEX:P05556_P23229","LAMB2","ITGA6_ITGB1","consensus"
"999","P55268","COMPLEX:P05556_P26006","LAMB2","ITGA3_ITGB1","consensus"
"1000","P55268","COMPLEX:P05556_Q13683","LAMB2","ITGA7_ITGB1","consensus"
"1001","P55268","COMPLEX:P05556_Q13797","LAMB2","ITGA9_ITGB1","consensus"
"1002","P55268","COMPLEX:P06756_P26012","LAMB2","ITGAV_ITGB8","consensus"
"1003","P55268","COMPLEX:P16144_P23229","LAMB2","ITGA6_ITGB4","consensus"
"1004","P55268","P08865","LAMB2","RPSA","consensus"
"1005","P55268","P16070","LAMB2","CD44","consensus"
"1006","P55268","Q14118","LAMB2","DAG1","consensus"
"1007","P78509","COMPLEX:P05556_P26006","RELN","ITGA3_ITGB1","consensus"
"1008","P78509","P98155","RELN","VLDLR","consensus"
"1009","P78509","Q14114","RELN","LRP8","consensus"
"1010","P98160","P05556","HSPG2","ITGB1","consensus"
"1011","P98160","P11362","HSPG2","FGFR1","consensus"
"1012","P98160","P17301","HSPG2","ITGA2","consensus"
"1013","P98160","P18827","HSPG2","SDC1","consensus"
"1014","P98160","P98164","HSPG2","LRP2","consensus"
"1015","P98160","Q07954","HSPG2","LRP1","consensus"
"1016","P98160","Q13332","HSPG2","PTPRS","consensus"
"1017","P98160","Q14118","HSPG2","DAG1","consensus"
"1018","Q01955","COMPLEX:O75578_P05556","COL4A3","ITGA10_ITGB1","consensus"
"1019","Q01955","COMPLEX:P05556_P17301","COL4A3","ITGA2_ITGB1","consensus"
"1020","Q01955","COMPLEX:P05556_P26006","COL4A3","ITGA3_ITGB1","consensus"
"1021","Q01955","COMPLEX:P05556_P56199","COL4A3","ITGA1_ITGB1","consensus"
"1022","Q01955","COMPLEX:P05556_Q13797","COL4A3","ITGA9_ITGB1","consensus"
"1023","Q01955","COMPLEX:P05556_Q9UKX5","COL4A3","ITGA11_ITGB1","consensus"
"1024","Q01955","COMPLEX:P06756_P26012","COL4A3","ITGAV_ITGB8","consensus"
"1025","Q01955","P05106","COL4A3","ITGB3","consensus"
"1026","Q01955","P16070","COL4A3","CD44","consensus"
"1027","Q01955","P18827","COL4A3","SDC1","consensus"
"1028","Q01955","Q08722","COL4A3","CD47","consensus"
"1029","Q01955","Q9HCN6","COL4A3","GP6","consensus"
"1030","Q01955","Q9NPY3","COL4A3","CD93","consensus"
"1031","Q13316","COMPLEX:P05106_P06756","DMP1","ITGAV_ITGB3","consensus"
"1032","Q13751","COMPLEX:P05556_P17301","LAMB3","ITGA2_ITGB1","consensus"
"1033","Q13751","COMPLEX:P05556_P23229","LAMB3","ITGA6_ITGB1","consensus"
"1034","Q13751","COMPLEX:P05556_P26006","LAMB3","ITGA3_ITGB1","consensus"
"1035","Q13751","COMPLEX:P05556_Q13683","LAMB3","ITGA7_ITGB1","consensus"
"1036","Q13751","COMPLEX:P05556_Q13797","LAMB3","ITGA9_ITGB1","consensus"
"1037","Q13751","COMPLEX:P06756_P26012","LAMB3","ITGAV_ITGB8","consensus"
"1038","Q13751","COMPLEX:P16144_P23229","LAMB3","ITGA6_ITGB4","consensus"
"1039","Q13751","P16070","LAMB3","CD44","consensus"
"1040","Q13751","Q14118","LAMB3","DAG1","consensus"
"1041","Q13753","COMPLEX:P05556_P17301","LAMC2","ITGA2_ITGB1","consensus"
"1042","Q13753","COMPLEX:P05556_P23229","LAMC2","ITGA6_ITGB1","consensus"
"1043","Q13753","COMPLEX:P05556_P26006","LAMC2","ITGA3_ITGB1","consensus"
"1044","Q13753","COMPLEX:P05556_Q13683","LAMC2","ITGA7_ITGB1","consensus"
"1045","Q13753","COMPLEX:P05556_Q13797","LAMC2","ITGA9_ITGB1","consensus"
"1046","Q13753","COMPLEX:P06756_P26012","LAMC2","ITGAV_ITGB8","consensus"
"1047","Q13753","COMPLEX:P16144_P23229","LAMC2","ITGA6_ITGB4","consensus"
"1048","Q13753","P16070","LAMC2","CD44","consensus"
"1049","Q13753","Q14118","LAMC2","DAG1","consensus"
"1050","Q14031","COMPLEX:O75578_P05556","COL4A6","ITGA10_ITGB1","consensus"
"1051","Q14031","COMPLEX:P05556_P17301","COL4A6","ITGA2_ITGB1","consensus"
"1052","Q14031","COMPLEX:P05556_P26006","COL4A6","ITGA3_ITGB1","consensus"
"1053","Q14031","COMPLEX:P05556_P56199","COL4A6","ITGA1_ITGB1","consensus"
"1054","Q14031","COMPLEX:P05556_Q13797","COL4A6","ITGA9_ITGB1","consensus"
"1055","Q14031","COMPLEX:P05556_Q9UKX5","COL4A6","ITGA11_ITGB1","consensus"
"1056","Q14031","COMPLEX:P06756_P26012","COL4A6","ITGAV_ITGB8","consensus"
"1057","Q14031","P16070","COL4A6","CD44","consensus"
"1058","Q14031","P18827","COL4A6","SDC1","consensus"
"1059","Q14031","Q08722","COL4A6","CD47","consensus"
"1060","Q14031","Q9HCN6","COL4A6","GP6","consensus"
"1061","Q14031","Q9NPY3","COL4A6","CD93","consensus"
"1062","Q14050","COMPLEX:O75578_P05556","COL9A3","ITGA10_ITGB1","consensus"
"1063","Q14050","COMPLEX:P05556_P17301","COL9A3","ITGA2_ITGB1","consensus"
"1064","Q14050","COMPLEX:P05556_P26006","COL9A3","ITGA3_ITGB1","consensus"
"1065","Q14050","COMPLEX:P05556_P56199","COL9A3","ITGA1_ITGB1","consensus"
"1066","Q14050","COMPLEX:P05556_Q13797","COL9A3","ITGA9_ITGB1","consensus"
"1067","Q14050","COMPLEX:P05556_Q9UKX5","COL9A3","ITGA11_ITGB1","consensus"
"1068","Q14050","COMPLEX:P06756_P26012","COL9A3","ITGAV_ITGB8","consensus"
"1069","Q14050","P16070","COL9A3","CD44","consensus"
"1070","Q14050","P18827","COL9A3","SDC1","consensus"
"1071","Q14050","Q9HCN6","COL9A3","GP6","consensus"
"1072","Q14055","COMPLEX:O75578_P05556","COL9A2","ITGA10_ITGB1","consensus"
"1073","Q14055","COMPLEX:P05556_P17301","COL9A2","ITGA2_ITGB1","consensus"
"1074","Q14055","COMPLEX:P05556_P26006","COL9A2","ITGA3_ITGB1","consensus"
"1075","Q14055","COMPLEX:P05556_P56199","COL9A2","ITGA1_ITGB1","consensus"
"1076","Q14055","COMPLEX:P05556_Q13797","COL9A2","ITGA9_ITGB1","consensus"
"1077","Q14055","COMPLEX:P05556_Q9UKX5","COL9A2","ITGA11_ITGB1","consensus"
"1078","Q14055","COMPLEX:P06756_P26012","COL9A2","ITGAV_ITGB8","consensus"
"1079","Q14055","P16070","COL9A2","CD44","consensus"
"1080","Q14055","P18827","COL9A2","SDC1","consensus"
"1081","Q14055","Q9HCN6","COL9A2","GP6","consensus"
"1082","Q16363","COMPLEX:P05556_P17301","LAMA4","ITGA2_ITGB1","consensus"
"1083","Q16363","COMPLEX:P05556_P23229","LAMA4","ITGA6_ITGB1","consensus"
"1084","Q16363","COMPLEX:P05556_P26006","LAMA4","ITGA3_ITGB1","consensus"
"1085","Q16363","COMPLEX:P05556_Q13683","LAMA4","ITGA7_ITGB1","consensus"
"1086","Q16363","COMPLEX:P05556_Q13797","LAMA4","ITGA9_ITGB1","consensus"
"1087","Q16363","COMPLEX:P06756_P26012","LAMA4","ITGAV_ITGB8","consensus"
"1088","Q16363","COMPLEX:P16144_P23229","LAMA4","ITGA6_ITGB4","consensus"
"1089","Q16363","P16070","LAMA4","CD44","consensus"
"1090","Q16363","Q14118","LAMA4","DAG1","consensus"
"1091","Q16787","COMPLEX:P05556_P17301","LAMA3","ITGA2_ITGB1","consensus"
"1092","Q16787","COMPLEX:P05556_P23229","LAMA3","ITGA6_ITGB1","consensus"
"1093","Q16787","COMPLEX:P05556_P26006","LAMA3","ITGA3_ITGB1","consensus"
"1094","Q16787","COMPLEX:P05556_Q13683","LAMA3","ITGA7_ITGB1","consensus"
"1095","Q16787","COMPLEX:P05556_Q13797","LAMA3","ITGA9_ITGB1","consensus"
"1096","Q16787","COMPLEX:P06756_P26012","LAMA3","ITGAV_ITGB8","consensus"
"1097","Q16787","COMPLEX:P16144_P23229","LAMA3","ITGA6_ITGB4","consensus"
"1098","Q16787","P16070","LAMA3","CD44","consensus"
"1099","Q16787","P34741","LAMA3","SDC2","consensus"
"1100","Q16787","Q14118","LAMA3","DAG1","consensus"
"1101","Q92752","COMPLEX:P05106_P06756","TNR","ITGAV_ITGB3","consensus"
"1102","Q92752","COMPLEX:P05106_P08514","TNR","ITGA2B_ITGB3","consensus"
"1103","Q92752","COMPLEX:P05556_P53708","TNR","ITGA8_ITGB1","consensus"
"1104","Q92752","COMPLEX:P05556_Q13797","TNR","ITGA9_ITGB1","consensus"
"1105","Q92752","COMPLEX:P06756_P18564","TNR","ITGAV_ITGB6","consensus"
"1106","Q92752","P18827","TNR","SDC1","consensus"
"1107","Q9NZW4","COMPLEX:P05556_P06756","DSPP","ITGAV_ITGB1","consensus"
"1108","Q9NZW4","COMPLEX:P06756_P18564","DSPP","ITGAV_ITGB6","consensus"
"1109","Q9UQP3","COMPLEX:P05106_P06756","TNN","ITGAV_ITGB3","consensus"
"1110","Q9UQP3","COMPLEX:P05106_P08514","TNN","ITGA2B_ITGB3","consensus"
"1111","Q9UQP3","COMPLEX:P05556_P53708","TNN","ITGA8_ITGB1","consensus"
"1112","Q9UQP3","COMPLEX:P05556_Q13797","TNN","ITGA9_ITGB1","consensus"
"1113","Q9UQP3","COMPLEX:P06756_P18564","TNN","ITGAV_ITGB6","consensus"
"1114","Q9UQP3","P18827","TNN","SDC1","consensus"
"1115","Q9Y6N6","COMPLEX:P05556_P17301","LAMC3","ITGA2_ITGB1","consensus"
"1116","Q9Y6N6","COMPLEX:P05556_P23229","LAMC3","ITGA6_ITGB1","consensus"
"1117","Q9Y6N6","COMPLEX:P05556_P26006","LAMC3","ITGA3_ITGB1","consensus"
"1118","Q9Y6N6","COMPLEX:P05556_Q13683","LAMC3","ITGA7_ITGB1","consensus"
"1119","Q9Y6N6","COMPLEX:P05556_Q13797","LAMC3","ITGA9_ITGB1","consensus"
"1120","Q9Y6N6","COMPLEX:P06756_P26012","LAMC3","ITGAV_ITGB8","consensus"
"1121","Q9Y6N6","COMPLEX:P16144_P23229","LAMC3","ITGA6_ITGB4","consensus"
"1122","Q9Y6N6","P16070","LAMC3","CD44","consensus"
"1123","Q9Y6N6","Q14118","LAMC3","DAG1","consensus"
"1124","COMPLEX:O75462_Q9UBD9","COMPLEX:P26992_P40189","CLCF1_CRLF1","CNTFR_IL6ST","consensus"
"1125","COMPLEX:P01374_Q06643","P36941","LTA_LTB","LTBR","consensus"
"1126","COMPLEX:P01857_P0CG04","O75015","IGHG1_IGLC1","FCGR3B","consensus"
"1127","COMPLEX:P01857_P0CG04","P31994","IGHG1_IGLC1","FCGR2B","consensus"
"1128","COMPLEX:P05111_P08476","P27037","INHA_INHBA","ACVR2A","consensus"
"1129","COMPLEX:P05111_P09529","Q13705","INHA_INHBB","ACVR2B","consensus"
"1130","COMPLEX:P08476_P09529","COMPLEX:P27037_P36896","INHBA_INHBB","ACVR1B_ACVR2A","consensus"
"1131","COMPLEX:P08476_P09529","COMPLEX:P27037_Q04771","INHBA_INHBB","ACVR1_ACVR2A","consensus"
"1132","COMPLEX:P08476_P09529","COMPLEX:P27037_Q8NER5","INHBA_INHBB","ACVR1C_ACVR2A","consensus"
"1133","COMPLEX:P08476_P09529","COMPLEX:P36896_Q13705","INHBA_INHBB","ACVR1B_ACVR2B","consensus"
"1134","COMPLEX:P08476_P09529","COMPLEX:Q04771_Q13705","INHBA_INHBB","ACVR1_ACVR2B","consensus"
"1135","COMPLEX:P08476_P09529","COMPLEX:Q13705_Q8NER5","INHBA_INHBB","ACVR1C_ACVR2B","consensus"
"1136","COMPLEX:P09603_Q6ZMJ4","P07333","CSF1_IL34","CSF1R","consensus"
"1137","COMPLEX:P29459_P29460","COMPLEX:P42701_Q99665","IL12A_IL12B","IL12RB1_IL12RB2","consensus"
"1138","COMPLEX:P29459_Q14213","COMPLEX:P40189_Q99665","EBI3_IL12A","IL12RB2_IL6ST","consensus"
"1139","COMPLEX:P29459_Q8NEV9","COMPLEX:Q6UWB1_Q99665","IL12A_IL27","IL12RB2_IL27RA","consensus"
"1140","COMPLEX:P29460_Q9NPF7","COMPLEX:P42701_Q5VWK5","IL12B_IL23A","IL12RB1_IL23R","consensus"
"1141","COMPLEX:Q14213_Q8NEV9","COMPLEX:P40189_Q6UWB1","EBI3_IL27","IL27RA_IL6ST","consensus"
"1142","COMPLEX:Q16552_Q96PD4","COMPLEX:Q8NAC3_Q96F46","IL17A_IL17F","IL17RA_IL17RC","consensus"
"1143","K9M1U5","Q08334","IFNL4","IL10RB","consensus"
"1144","K9M1U5","Q8IU57","IFNL4","IFNLR1","consensus"
"1145","O00175","P41597","CCL24","CCR2","consensus"
"1146","O00175","P51677","CCL24","CCR3","consensus"
"1147","O00230","P08913","CORT","ADRA2A","consensus"
"1148","O00230","P30872","CORT","SSTR1","consensus"
"1149","O00230","P30874","CORT","SSTR2","consensus"
"1150","O00230","P31391","CORT","SSTR4","consensus"
"1151","O00230","P32745","CORT","SSTR3","consensus"
"1152","O00230","P35346","CORT","SSTR5","consensus"
"1153","O00230","P48039","CORT","MTNR1A","consensus"
"1154","O00230","Q14831","CORT","GRM7","consensus"
"1155","O00230","Q92847","CORT","GHSR","consensus"
"1156","O00230","Q96LB1","CORT","MRGPRX2","consensus"
"1157","O00253","O75056","AGRP","SDC3","consensus"
"1158","O00253","P32245","AGRP","MC4R","consensus"
"1159","O00253","P33032","AGRP","MC5R","consensus"
"1160","O00253","P41968","AGRP","MC3R","consensus"
"1161","O00292","P27037","LEFTY2","ACVR2A","consensus"
"1162","O00292","P36896","LEFTY2","ACVR1B","consensus"
"1163","O00292","Q13705","LEFTY2","ACVR2B","consensus"
"1164","O00585","P08913","CCL21","ADRA2A","consensus"
"1165","O00585","P32248","CCL21","CCR7","consensus"
"1166","O00585","P46092","CCL21","CCR10","consensus"
"1167","O00585","P48039","CCL21","MTNR1A","consensus"
"1168","O00585","P49682","CCL21","CXCR3","consensus"
"1169","O00585","Q14831","CCL21","GRM7","consensus"
"1170","O00585","Q9NPB9","CCL21","ACKR4","consensus"
"1171","O00622","O00206","CCN1","TLR4","consensus"
"1172","O00622","O60603","CCN1","TLR2","consensus"
"1173","O00622","P05106","CCN1","ITGB3","consensus"
"1174","O00622","P05107","CCN1","ITGB2","consensus"
"1175","O00622","P06756","CCN1","ITGAV","consensus"
"1176","O00622","P08648","CCN1","ITGA5","consensus"
"1177","O00622","P11215","CCN1","ITGAM","consensus"
"1178","O00622","P18084","CCN1","ITGB5","consensus"
"1179","O00626","P51679","CCL22","CCR4","consensus"
"1180","O00634","Q4KMG0","NTN3","CDON","consensus"
"1181","O00634","Q92859","NTN3","NEO1","consensus"
"1182","O00744","COMPLEX:O00144_O75197","WNT10B","FZD9_LRP5","consensus"
"1183","O00744","COMPLEX:O00144_O75581","WNT10B","FZD9_LRP6","consensus"
"1184","O00744","COMPLEX:O60353_O75197","WNT10B","FZD6_LRP5","consensus"
"1185","O00744","COMPLEX:O60353_O75581","WNT10B","FZD6_LRP6","consensus"
"1186","O00744","COMPLEX:O75084_O75197","WNT10B","FZD7_LRP5","consensus"
"1187","O00744","COMPLEX:O75084_O75581","WNT10B","FZD7_LRP6","consensus"
"1188","O00744","COMPLEX:O75197_Q13467","WNT10B","FZD5_LRP5","consensus"
"1189","O00744","COMPLEX:O75197_Q14332","WNT10B","FZD2_LRP5","consensus"
"1190","O00744","COMPLEX:O75197_Q9H461","WNT10B","FZD8_LRP5","consensus"
"1191","O00744","COMPLEX:O75197_Q9NPG1","WNT10B","FZD3_LRP5","consensus"
"1192","O00744","COMPLEX:O75197_Q9ULV1","WNT10B","FZD4_LRP5","consensus"
"1193","O00744","COMPLEX:O75197_Q9ULW2","WNT10B","FZD10_LRP5","consensus"
"1194","O00744","COMPLEX:O75197_Q9UP38","WNT10B","FZD1_LRP5","consensus"
"1195","O00744","COMPLEX:O75581_Q13467","WNT10B","FZD5_LRP6","consensus"
"1196","O00744","COMPLEX:O75581_Q14332","WNT10B","FZD2_LRP6","consensus"
"1197","O00744","COMPLEX:O75581_Q9H461","WNT10B","FZD8_LRP6","consensus"
"1198","O00744","COMPLEX:O75581_Q9NPG1","WNT10B","FZD3_LRP6","consensus"
"1199","O00744","COMPLEX:O75581_Q9ULV1","WNT10B","FZD4_LRP6","consensus"
"1200","O00744","COMPLEX:O75581_Q9ULW2","WNT10B","FZD10_LRP6","consensus"
"1201","O00744","COMPLEX:O75581_Q9UP38","WNT10B","FZD1_LRP6","consensus"
"1202","O00755","COMPLEX:O00144_O75197","WNT7A","FZD9_LRP5","consensus"
